Q184485|performing arts
Q1416636|non-banking financial company
Q462667|administrative territorial entity of Moscow
Q42855995|manufacturing company
Q14623646|fictional organization
Q188285|motet
Q7397|software
Q21752084|Roman archaeological site
Q24334685|mythical entity
Q19691007|institutional complex
Q48277|gender
Q23959932|fixed-order metaclass
Q1220959|building of public administration
Q3026787|saying
Q72697380|chlorobenzene
Q2465832|branch of science
Q6313217|time standard
Q12550685|arsenic compounds
Q194166|consortium
Q863404|subterranea
Q2418495|independent school
Q1318295|narrative
Q55935585|ITU-T recommendation
Q8465|civil war
Q187588|social class
Q8274|manga
Q294163|public institution
Q1414565|spaceplane
Q5618454|gun violence
Q22713629|girls school
Q1759988|linguistic norm
Q18670161|mascot
Q12277|arch
Q2979|liberty
Q220499|streaming media
Q7832337|traditional fishing boat
Q7748|law
Q417262|endopeptidases
Q2384959|Americans
Q126818|dimensionless quantity
Q193275|small Solar System body
Q1616075|television station
Q2726038|administrative territorial entity of Iran
Q162919|seal
Q57842052|substituted benzene
Q56611639|media industry
Q126955|level set
Q44539|temple
Q30503704|graph algorithm
Q3491904|urban rail transit
Q35456|essential medicine
Q11422|toy
Q80071|symbol
Q55818|impact crater
Q101998|biome
Q178885|deity
Q349|sport
Q107|space
Q28061975|group of Greek mythical characters
Q1057079|pregnancy category
Q3305213|painting
Q44554|law enforcement
Q38829|breed
Q1530022|religious organization
Q4539|cooperative
Q207348|semigroup
Q30921616|spin-off
Q28140340|women's association football team
Q210337|media player
Q7667912|T-group
Q24055548|Q24055548
Q11435|liquid
Q159810|economy
Q41791733|statistical territorial entity of Portugal
Q378427|literary award
Q156|alcohols
Q604886|charter city of the United States
Q1248784|airport
Q17299750|snooker tournament
Q1431026|horeca
Q27895381|maritime infrastructure
Q936614|almost prime
Q16237489|coniferous forest
Q44559|extrasolar planet
Q11862829|academic discipline
Q211302|glacial lake
Q1802963|mansion
Q1616547|polyglot
Q1780371|municipal company
Q7269307|meeting
Q780687|rights
Q1668023|Internet booking engine
Q123705|neighborhood
Q187661|carcinogen
Q269415|digital distribution
Q1763214|municipio
Q23905105|women's national association football team
Q1806767|departamento
Q3591564|établissement public de coopération intercommunale
Q1199682|system testing
Q4213|telescope
Q7315155|research center
Q11997597|representative
Q4990531|anesthetic
Q79007|street
Q35127|website
Q708676|charitable organization
Q161973|curve
Q28870066|ensemble of works of art
Q863908|Nucleic acid sequence
Q38723|higher education institution
Q385994|special library
Q12725|electricity
Q214609|base material
Q30061294|supernatural being in a work of fiction
Q46169|national park
Q21073024|flammable solid
Q1469824|controlled vocabulary
Q906512|shipwrecking
Q27304565|fictional Pantherinae
Q62662439|declaration
Q21994376|war of independence
Q1229765|watercraft
Q79529|chemical substance
Q193395|data storage
Q361733|administrative territorial entity of Austria
Q27020041|sports season
Q44791900|chloride
Q32178211|music organization
Q2380335|airstrike
Q35459920|three-dimensional object
Q17737|theory
Q54831|amphitheatre
Q58631461|bacterial vaccine
Q202866|animated film
Q5|human
Q1064242|polyatomic ion
Q28640|profession
Q178706|institution
Q91122|bunker
Q3074936|Local government in the Republic of Ireland
Q48909258|third-order administrative division
Q252550|trade agreement
Q192350|ministry
Q341409|onium ion
Q4393498|representation
Q3144351|scientific hypothesis
Q4392985|religious identity
Q15661340|ancient city
Q356936|exclusion zone
Q528166|client
Q149086|homicide
Q16738832|criminal case
Q9415|emotion
Q14632398|physical science
Q12503|integer
Q20639847|professional cycling team
Q7406919|service
Q50513|administrative territorial entity of Singapore
Q11436|aircraft
Q2514663|worship
Q209075|multiplayer game
Q11358|carbohydrate
Q21191019|Japanese TV series
Q1163915|Gun carriage
Q19364326|media studio facility
Q34669510|malleable material
Q83306|group
Q3241972|character
Q28108|political system
Q18563354|religious character
Q1527901|unmanned vehicle
Q1369650|professional sports
Q3489682|polar solvent
Q188889|code
Q878249|alliance
Q339678|distributed data store
Q3523867|material property
Q50053|binary star
Q987767|container
Q7674132|terrorism tactic
Q20936777|series of specified number of works
Q88595380|anthropomorphic canine
Q5193377|cultural institution
Q27912070|television program for children
Q1088|blue
Q56273712|source-available software
Q183039|form of state
Q739302|production
Q15773317|television character
Q2722260|attribute
Q1266031|angel in Islam
Q592312|disk image file
Q44782|port
Q864897|single-elimination tournament
Q327245|team
Q1370617|measurement scale
Q2516121|transport building or structure
Q3750285|administrative territorial entity of Canada
Q208237|monoid
Q234460|text
Q207714|transcription
Q103230|ethers
Q1076968|digital media
Q36993249|arrangement
Q233324|seminary
Q191067|article
Q33399405|fictional toy
Q473033|Old wives' tale
Q56190453|memorial complex
Q3412198|consortium of universities in France
Q580939|commercial vehicle
Q61766772|Q61766772
Q22667|railway
Q28955245|assertion method
Q3389680|census place
Q1378139|robotic spacecraft
Q3624078|sovereign state
Q249389|deep-sky object
Q21073029|disaster remains
Q35535|police
Q2472587|people
Q1436016|stellar population
Q51938570|entertainment software
Q15126920|administrative territorial entity of El Salvador
Q1364556|music award
Q423118|organic acid anhydride
Q13878858|natural process
Q737498|academic journal
Q476300|competition
Q4438121|sports organization
Q557770|Web API
Q3575260|bijou
Q488383|object
Q247073|powiat of Poland
Q1076486|sports venue
Q1850442|administrative territorial entity of Japan
Q18324095|administrative territorial entity of Palestine
Q166747|parliamentary system
Q184651|toxin
Q30327093|horizontal structural element
Q9081|knowledge
Q2043282|business administration
Q1969448|term
Q23808|interface
Q207822|packaging and labeling
Q48522|word-sense disambiguation
Q6018565|combustion engine
Q21871294|living organism class
Q41487|court
Q40056|computer program
Q163687|basilica
Q71966963|religion or world view
Q7554349|software publisher
Q6979593|national association football team
Q622416|motorboat
Q591041|scholarly publication
Q83197|antimatter
Q1143175|administrative territorial entity of Iceland
Q836950|derivative work
Q6949213|mythological king
Q500834|tournament
Q1951366|public utility
Q244339|administrative territorial entity of Georgia
Q41207|coin
Q12518|tower
Q1347367|capability
Q2062733|high-trajectory artillery gun
Q34548368|international association football competition
Q865588|committee
Q194188|spaceport
Q417175|kingdom
Q829548|over-the-top content
Q11797724|olefin
Q130901|binary relation
Q177777|logistics
Q64732777|biological phenomenon
Q39715|lighthouse
Q4946305|borough in the United States
Q39659371|retail environment
Q10374501|administrative territorial entity of Bulgaria
Q8027727|Wissenschaft
Q18327510|fictional robot
Q1244890|rational number
Q55488|railway station
Q8242|literature
Q11483816|annual event
Q685935|trade magazine
Q4771249|antenna array
Q26721034|bike shop
Q190249|central building
Q213924|codex
Q6955655|NUTS 1 statistical regions of England
Q1792623|arts educational institution
Q752673|asymmetric warfare
Q1081138|historic site
Q47521|stream
Q683738|administrative subdivision of Wales
Q38926|news
Q6023295|burial or funerary  structures
Q29048319|vehicle model series
Q3386703|extensive quantity
Q68|computer
Q3337309|mine warfare vessel
Q2385804|educational institution
Q213441|shop
Q12827256|myth
Q33506|museum
Q21156425|wrestling event
Q646728|administrative territorial entity of Finland
Q902814|border town
Q733553|channel
Q21743174|mobile software
Q3132741|substellar object
Q3022118|inverse semigroup
Q1266946|thesis
Q7515021|Silicon hydrides
Q5576009|God in Abrahamic religions
Q726870|brick and mortar company
Q1021290|music school
Q193622|order
Q333109|Überrest
Q811430|construction
Q629257|work accident
Q22808403|station located underground
Q15547961|multimedia software
Q7603913|state variable
Q1668024|service on internet
Q104843|cruiser
Q51041800|religious administrative entity
Q3884033|operation
Q29052255|flight phase
Q72775801|linguistic typology
Q39201|pet
Q1370598|place of worship
Q902085|homonym
Q910919|administrative territorial entity of Cape Verde
Q273057|discography
Q55659167|natural watercourse
Q10669499|naval officer
Q4886|cultivar
Q485258|federative unit of Brazil
Q1002697|periodical
Q121359|infrastructure
Q697379|administrative territorial entity of Romania
Q15773347|film character
Q2202509|Roman city
Q5146936|colleges within universities in the United Kingdom
Q22988604|mythological Greek character
Q27096213|geographic entity
Q13218357|city of California
Q29430681|triad
Q5159064|concrete bridge
Q15978299|municipality with town privileges in the Czech Republic
Q220659|archaeological artifact
Q2485448|sports governing body
Q912018|interferometer
Q23958946|individual
Q15832079|fictional bird
Q184348|elliptical galaxy
Q3079197|temperate forest
Q56256086|group of chemical compounds
Q736917|formation
Q66587127|oxidoreductase inhibitor
Q10675206|ingredient
Q2671652|medical test
Q518261|cultural area
Q1660150|steel construction
Q726|horse
Q30061312|fictional liminal being
Q11053|RNA
Q48324|morality
Q10836209|digital currency
Q121916|writing implement
Q31172650|moral quality
Q15620020|administrative territorial entity of Uruguay
Q2416047|list of communities in Alberta
Q47091889|hemisphere
Q23622|dictionary
Q387914|organohalogen compound
Q373916|nymph
Q2285130|signal language
Q134161|joint-stock company
Q1457376|eclipsing binary star
Q59348943|piperidine
Q1760309|pitch class
Q612229|municipality of Estonia
Q15621286|intellectual work
Q215380|musical group
Q1093829|city of the United States
Q29441572|heptad
Q2998465|exarchate
Q667509|municipality of Austria
Q1210425|internet hosting service
Q11266439|Wikimedia template
Q47461344|written work
Q1129743|filial church
Q44613|monastery
Q1066186|study of history
Q1900672|marketing tool
Q335918|popular initiative
Q15623253|administrative territorial entity of Malaysia
Q35273|optical telescope
Q1466064|processor
Q28920052|non-negative integer
Q61105129|association football venue
Q72185287|flavonoid superclass
Q6985603|neckwear
Q245596|cycle
Q1252971|food manufacturer
Q9174|religion
Q42915594|Scottish burgh
Q18587469|residential community
Q27277631|fictional mammal
Q10714182|pervasive game
Q3591586|public scientific, cultural or professional establishment
Q337968|idiom
Q42417296|infection associated with diseases
Q79782|motion
Q19307174|digital distribution platform
Q154954|natural person
Q106520|hydride
Q73112927|neurotransmitter agent
Q11755880|residential building
Q166774|protease inhibitor
Q6566301|urban area in Nordic countries
Q758871|audio format
Q43263|federal subject of Russia
Q1052804|exterior ornament of the shield
Q327000|court decision
Q41883552|combinatorial algorithm
Q645883|military operation
Q4936585|body of the European Union
Q613299|statement
Q729|animal
Q578779|pure substance
Q21029893|religious object
Q24339660|Norse religious concept
Q2248485|fictional mutant
Q7247798|product testing
Q753297|discovery
Q757163|woody plant
Q28843519|General anatomical term
Q7189713|physiological condition
Q466704|surface-to-air missile
Q17518870|group of literary works
Q161726|multinational corporation
Q12146012|underground building
Q163767|reaction inhibitor
Q16895642|philosophical school
Q16335899|watercraft type
Q828803|job title
Q104053|Q104053
Q187931|phrase
Q422649|biopolymer
Q4470686|Q4470686
Q27166344|substance
Q617332|setting
Q473972|protected area
Q321839|accord
Q189760|voting
Q21191134|comic strip series
Q58197759|hurricane
Q781815|Passion
Q61610698|SI unit
Q41298|magazine
Q31207|health care
Q740464|legal act
Q2466889|hydraulic structure
Q197|airplane
Q192581|job
Q1875615|air carrier
Q8513|database
Q167676|sensor
Q280783|popular assembly
Q1137594|coupé
Q1620908|historical region
Q387917|administrative territorial entity of Germany
Q3529455|lymphatic tissue
Q1065742|religious music
Q1030034|GLAM
Q55678|railway halt
Q300920|esports
Q127197|bomb
Q1569167|video game character
Q6852233|military building
Q16338|personal computer
Q19403027|purpose-designed aircraft
Q7275|state
Q1231592|electron acceptor
Q349084|district of England
Q1896989|subject of international law
Q7194062|flying machine
Q64698788|carbohydrate derivative
Q34548345|international association football clubs competition
Q14204246|Wikimedia project page
Q21281405|Wikidata internal entity
Q703534|employee
Q19967801|online service
Q12143|time zone
Q16560|palace
Q28877|goods
Q18205885|cause of cancer
Q14819852|birth
Q189970|social status
Q28845870|biological component
Q5292|encyclopedia
Q12802|nuclear weapon
Q14659|coat of arms
Q1547612|hydrohalide
Q16521|taxon
Q4632675|dwelling place
Q570116|tourist attraction
Q35145263|natural geographic object
Q26879763|Napoleonic client state
Q6901969|monospecific antibody
Q5961257|hypothetical astronomical object
Q15617994|designation for an administrative territorial entity
Q3149875|aviation incident
Q1823435|reflector
Q19549|chemical series
Q71938993|phosphorus oxoanion
Q47407603|artistic creation
Q5393774|NASCAR Cup race
Q634|planet
Q115940|seaplane
Q25372|drama
Q1539532|sports season of a sports club
Q728|weapon
Q2945123|center of mass
Q188248|constant
Q14075|free content
Q24334299|mythical animal
Q1532771|lucky symbol
Q1331793|media enterprise
Q181699|carbonate
Q11016|technology
Q406957|first-level NUTS of the European Union
Q12131650|location of burial
Q202444|given name
Q49773|social movement
Q483242|laboratory
Q1139274|copyleft license
Q2085518|format
Q81054|storm
Q17195514|political conference
Q22989102|Greek deity
Q202833|social media
Q17645478|bridge by material
Q585444|administrative district of Prague
Q57814795|domesticated mammal
Q175185|rural area
Q7832362|traditional story
Q4271324|mythical character
Q28607529|obsolete unit of measurement
Q75843001|benzodihydrofuran
Q862761|interior
Q628403|conservation
Q36784|region of France
Q23005231|performing arts school
Q13221722|third-level administrative country subdivision
Q4817637|atrocity crime
Q27031009|public archive
Q2700595|dyad
Q3247505|artificial language
Q50423863|copyrighted
Q868410|graphics software
Q14333920|halogenated hydrocarbon
Q23847174|religious concept
Q11822042|transport accident
Q729438|economic integration
Q5135573|clothing material
Q7188|government
Q27038993|food establishment
Q66507099|hormone
Q14921981|administrative territorial entity of Belarus
Q211364|principle
Q2668072|collection
Q16562419|political entity
Q7725310|series of creative works
Q15116915|show
Q1920219|social issue
Q36192|folklore
Q200538|party
Q50464|state or federal territory of Malaysia
Q1054813|municipality of Japan
Q10354598|rural settlement
Q1114461|comics character
Q19202067|global empire
Q50429917|central nervous system agent
Q853725|social relation
Q1056408|open format
Q7493941|shelter
Q3074541|flow of matter and energy
Q235113|angel
Q83478|group
Q27529879|non-Copyfree software license
Q17172633|written news media
Q14762300|single-tier municipality
Q8205328|artificial physical object
Q11399|rock music
Q5891|philosophy
Q67954132|pyrrole
Q17335294|flag or coat of arms
Q58928516|meteorological concept
Q11573|metre
Q207628|musical composition
Q3839081|disaster
Q936791|non-renewable resource
Q8187769|economic activity
Q847027|grande école
Q386724|work
Q3476533|monumental sculpture
Q650711|combat
Q10929058|model
Q691899|kraj
Q730038|credit institution
Q12323|dam
Q1916821|water deity
Q3976645|administrative territorial entity of Angola
Q1059564|cataclysmic variable star
Q16334298|group of living things
Q213918|administrative territorial entity of Bolivia
Q55523986|monoanion
Q1006876|borough in the United Kingdom
Q14192199|territory of Australia
Q9158768|storage
Q2574811|cause
Q189004|college
Q917284|climbing plant
Q11432|gas
Q3435924|computational problem
Q49297|Indigenous peoples of the United States
Q13473501|collective
Q3269344|oxyanion
Q65929831|United States currency
Q88789639|artistic profession
Q3565782|navigational aid
Q146768|middleware
Q3257686|locality
Q5165081|content format
Q1633408|concelho
Q341|free software
Q860861|sculpture
Q11030|journalism
Q1555508|radio program
Q7451779|separate legal entity
Q588140|science museum
Q26904132|visual arts technique
Q1254874|television network
Q899523|object-based language
Q1983062|episode
Q515716|prefecture
Q2089936|consulting company
Q28575|county
Q173799|entertainment
Q50430193|pharmaceutical vehicle
Q1079023|championship
Q8386|drug
Q4167836|Wikimedia category
Q12135|mental disorder
Q335214|endangered language
Q2507626|water area
Q1931388|cause of death
Q21009831|fictional monkey
Q3863|asteroid
Q1168287|intervention
Q17339814|group or class of chemical substances
Q17524420|aspect of history
Q5341295|educational organization
Q46857|scientific method
Q7315175|research park
Q47457841|homocyclic compound
Q8436|family
Q7696092|telecommunications service provider
Q104493|risk
Q629206|computer language
Q20045456|political position
Q2018526|arts
Q186081|time interval
Q891723|public company
Q40218|spacecraft
Q11024|communication
Q1437361|form
Q2198855|cultural movement
Q4671277|academic institution
Q16873390|supraorganization
Q1849445|colleges and universities in the United States
Q7239|organism
Q992253|confraternity
Q214339|role
Q2865305|trading company
Q206361|concern
Q2716249|contact binary
Q836270|polygonal number
Q47146|user interface
Q10301427|moving image
Q26540|artificial satellite
Q13136|reference work
Q1130510|figurate number
Q134808|vaccine
Q350176|additive
Q461231|administrative territorial entity of Scotland
Q3733190|nuclear explosive
Q3914|school
Q4260475|medical facility
Q34770|language
Q15063160|administrative territorial entity of New Zealand
Q276453|monster
Q421916|diol
Q20747295|protein-coding gene
Q171318|kinship
Q55490|through station
Q7184903|abstract object
Q451967|intentional human action
Q3215290|artificial lake
Q3063847|emotional and behavioral disorders
Q66310308|show garden
Q1933595|hijacking
Q34687|Rosa
Q74835190|osmium compound
Q193181|observation
Q66392784|Segment of arterial tree organ
Q837766|local authority
Q11751655|polycarboxylic acid
Q4505975|digital comic
Q15126142|transport aircraft
Q839954|archaeological site
Q10872023|organizational structure of cities in the People’s Republic of China
Q2052886|parliamentary library
Q27096235|artificial geographic entity
Q1210334|railway bridge
Q166542|International Relations
Q854954|videotelephony
Q571|book
Q4218455|qualification (degree)
Q522972|source code editor
Q190429|depression
Q17147642|autonomous community
Q104837|phase
Q15663836|local administrative unit in Thailand
Q847017|sports club
Q1259759|miniseries
Q17538258|recreative work
Q12370|salt
Q65045986|bicameral alphabet
Q1307276|single-family detached home
Q21589788|Kuiper belt object
Q14469439|centered polyhedral number
Q1318941|stage race
Q2638480|church congregation
Q49848|document
Q58778|system
Q21514702|abandoned project
Q12048218|natural resource wealth
Q476028|association football club
Q3831847|liturgical book
Q49394|weapon of mass destruction
Q3331189|version, edition, or translation
Q1138671|Catholic school
Q20639856|Professional Sports Team
Q1123840|symbols of Europe
Q1438040|research library
Q5107|continent
Q18674739|event venue
Q192355|primary raw material
Q13226383|facility
Q4494320|administrative territorial entity of Australia
Q29025902|volcanic landform
Q15720625|fictional dog
Q7643449|superhuman
Q30059|arrondissement
Q1826691|line construction
Q198|war
Q12410555|shooting attack
Q368442|compact star
Q3327870|municipal corporation in the United States
Q44946|point
Q1643563|prescription drug
Q483394|genre
Q1673271|regime change
Q36524|authority control
Q2826767|disease causative agent
Q1799794|administrative territorial entity of a specific level
Q50365914|biological region
Q336170|Q336170
Q3958441|economic sector
Q2974842|lost city
Q678146|bombardment
Q5390013|belief system
Q4563817|segmental writing system
Q3497167|gravity dam
Q29045252|city of South Korea
Q1428334|paradigm
Q902104|private university
Q13890|double star
Q18285135|administrative territorial entity of the Russian Soviet Federative Socialist Republic
Q179057|explosion
Q138840|Common Germanic deities
Q415812|polyol
Q424689|gene product
Q1245089|promontory
Q756|plant
Q61002|pseudonym
Q28367692|cavity
Q15961987|television genre
Q28732711|physical substance
Q127843|pen name
Q10389811|entry
Q1549591|big city
Q192611|constituency
Q1198376|cohomology
Q81944|cutlery
Q174873|cantata
Q337060|perceptible object
Q595523|notion
Q19842015|web-safe color
Q747980|polytope
Q1292119|style
Q1497364|building complex
Q1391145|professional society
Q1900326|network
Q639907|medical finding
Q14645593|rugby union team
Q81103|cannon
Q838185|community, region or language area of Belgium
Q176799|military unit
Q911138|thickener
Q4392123|Fσ set
Q11105360|medium of exchange
Q223557|physical object
Q72192270|N-substituted primary carboxamide
Q4026292|action
Q11784425|physical model
Q42744322|urban municipality of Germany
Q272851|Roman naming conventions
Q20852192|season
Q21522864|class or metaclass of Wikidata ontology
Q170744|ketone
Q188193|organ system
Q702492|urban area
Q6138528|political coalition
Q52948|interaction
Q20871196|fictional vehicle
Q20826013|software version
Q223393|literary genre
Q5282923|distant minor planet
Q28807560|clinical finding
Q15623926|Wikimedia set index article
Q103537|antigen
Q28797|applied science
Q2174956|non-working day
Q7978067|weapon testing
Q1799072|method
Q132364|communications protocol
Q66502406|property record
Q2398990|technology museum
Q21083858|finitely generated group
Q62447|aerodrome
Q294440|public space
Q867738|Christian school
Q7187|gene
Q11398090|creation
Q69197847|coherent SI unit
Q1738991|index number
Q15621887|administrative territorial entity of the Kingdom of Saxony
Q133311|tribe
Q863944|land waters
Q1640628|network service
Q168983|conflagration
Q179630|syndrome
Q1756942|partial function
Q386426|natural heritage
Q17004698|astronomical interferometer
Q1055465|girder bridge
Q3254959|race
Q270791|state-owned enterprise
Q5119|capital
Q55511472|polyatomic cation
Q3685430|municipality of Armenia
Q1751850|optical instrument
Q1787111|biographical dictionary
Q21191270|television series episode
Q12132640|scientific terminology
Q3304561|marine ecosystem
Q33384|dialect
Q71573538|oxacycle
Q18335|radiation
Q3505845|state
Q6502154|exploration
Q16970|church building
Q827335|abstract data type
Q205895|landmass
Q127244|Gδ set
Q746549|dish
Q1363241|plant variety
Q1329540|measuring standard
Q1790360|colonial empire
Q3348164|Catholic liturgical object
Q484652|international organization
Q4430243|social organization
Q5389|Olympic Games
Q16911759|trainset
Q1075|color
Q1788716|military decoration
Q321703|premise
Q4022|river
Q12548019|calcium compounds
Q184644|conservatory
Q14346334|web television
Q3658341|literary character
Q362482|operation
Q29485|error
Q15640612|fifth-level administrative country subdivision
Q874405|social group
Q18593264|item of collection or exhibition
Q56376142|sports federation
Q66736694|workroom
Q56019|military rank
Q65770134|Q65770134
Q21146257|type
Q44|beer
Q282250|qualia
Q1003030|test
Q59199015|group of stereoisomers
Q1278452|polyptych
Q56876011|private corporation
Q27921916|anthropomorphic character
Q133442|city-state
Q732577|publication
Q64728694|proposed entity
Q66737643|size-specific military unit
Q3706669|psychoactive drug
Q294414|public office
Q178790|trade union
Q1391125|specialized database
Q470540|seat
Q1781513|position
Q62602544|eating and lodging
Q133346|border
Q6501447|local government
Q27554677|former capital
Q567521|commercial company
Q914262|administrative territorial entity of Sweden
Q17376908|languoid
Q9779|alphabet
Q182545|stylistic device
Q179289|causality
Q676202|system software
Q177634|community
Q2547976|Atlantic hurricane
Q1130645|open-source software
Q135010|war crime
Q12136|disease
Q16334295|group of humans
Q12767945|language device
Q15284|municipality
Q23058816|TED talk
Q271669|landform
Q41156|administrative territorial entity of South Korea
Q17379835|Wikimedia page outside the main knowledge tree
Q11417|martial arts
Q66817758|national tennis team
Q13418847|historical event
Q734698|collectible card game
Q20162172|human language
Q473932|roll-on/roll-off ship
Q14916058|State territory
Q50808536|national handball team
Q10855061|archaeological find
Q1377182|liberal arts college
Q6942562|musical performance
Q15135589|Pilgrimage site
Q6664406|local government in Pennsylvania
Q65553774|chain
Q2031007|two-sided market
Q74817647|aspect in a geographic region
Q171634|administrative territorial entity of England
Q20857129|university system
Q131647|medal
Q12280|bridge
Q105420|anthology
Q155076|juridical person
Q158218|truss bridge
Q23069713|pass
Q655697|siege engine
Q4164871|position
Q2676325|source coding
Q6156156|geochronological unit
Q483247|phenomenon
Q6999|astronomical object
Q50379880|noxae
Q3707571|giant
Q23712|Bien de Interés Cultural
Q210420|corticosteroid
Q5276122|digital newspaper
Q24434794|king in Greek mythology
Q502261|silence
Q679643|transport phenomena
Q2223653|terrorist attack
Q72801119|tertiary amine
Q47217|civil disobedience
Q9268|Judaism
Q184358|reef
Q3450|main sequence
Q1646605|member state
Q918036|race
Q1151405|client state
Q3769299|human behaviour
Q61961344|group of physical objects
Q11618279|LAU 1
Q17334923|location
Q2057971|health problem
Q86923152|risk source
Q41176|building
Q38072107|fiction literature
Q79913|non-governmental organization
Q835153|physical examination
Q1407225|television award
Q17149090|armed organization
Q6857882|military taxonomy
Q5264406|designation
Q15632617|fictional human
Q6024226|metropolitan municipality
Q61788060|human activity
Q170658|creativity
Q13220204|second-level administrative country subdivision
Q15324|body of water
Q758870|digital audio editor
Q20830276|group of mythical characters
Q150784|canyon
Q1188782|county-equivalent
Q11707|restaurant
Q15229229|theatre award
Q6097|tea
Q646754|open letter
Q6423319|knowledge organization system
Q54875001|dioxane
Q7245071|principal area
Q16662561|suspected contagious disease
Q52162346|regional standard
Q202265|emission nebula
Q3950|villa
Q2627975|ceremony
Q13179187|geographic direction
Q326277|cation
Q12292478|estate
Q2180497|economic model
Q1063801|tertiary source
Q208500|principality
Q890545|arch dam
Q82799|name
Q18208034|indicator
Q42336871|crowdfunding platform
Q1762471|rhetorical device
Q10882966|exchange building
Q290691|villain
Q19934355|commutative monoid
Q39594|bay
Q350604|armed conflict
Q50231|administrative territorial entity of the People's Republic of China
Q24334893|mythical place
Q33215|constructed language
Q17442446|Wikimedia internal item
Q107425|landscape
Q15623264|administrative territorial entity of Belgium
Q2962925|fictional horse
Q25379|play
Q4728370|all-seater stadium
Q7725634|literary work
Q1276157|travel website
Q7225124|administrative territorial entity of Wisconsin
Q93184|drawing
Q15259995|recurring tournament
Q24856|film series
Q43460564|chemical entity
Q15642566|non-political administrative territorial entity
Q3488975|eutrophic lake
Q12812139|technical term
Q47913|intelligence agency
Q168845|star cluster
Q17912683|aerial bombing
Q939616|secret service
Q1474611|plot
Q2727213|theft
Q171809|county of England
Q579421|Soyuz
Q400144|planemo
Q7458208|reaction intermediate
Q1301371|computer network
Q1311670|rail infrastructure
Q1254933|astronomical observatory
Q63433687|fatty acyl
Q31855|research institute
Q294422|public building
Q2695008|administrative territorial entity of Luxembourg
Q618123|geographical object
Q207621|software license
Q149017|domestic rabbit
Q750458|capital market
Q1133961|commercial district
Q979507|Hindu deity
Q50843134|intellectual competition
Q24788543|Ribosome-inactivating protein
Q1826286|religious movement
Q15253706|like a city
Q820655|legislative act
Q106658|rural district of Germany
Q56061|administrative territorial entity
Q80006|computer programming
Q3943414|free software license
Q5151|month
Q1406161|artistic theme
Q8928|constellation
Q12047392|legal form
Q2551525|water reservoir
Q475023|exact science
Q2944660|lexical item
Q5919191|military intervention
Q108163|proposition
Q14506045|optical phenomenon
Q690175|angel in Judaism
Q7973762|water spirit
Q8719053|music venue
Q735|art
Q944806|operational risk
Q2442401|record company
Q5422256|extrasolar object
Q12042581|Olympic award
Q70990126|creative work season
Q4330518|research object
Q66194|cyclic compound
Q12036439|meteor
Q42470|motto
Q728937|railway line
Q8148|industry
Q3355750|monastic order
Q840676|fourth power
Q390516|control room
Q1971849|religious school
Q11455398|patronymic surname
Q190157|transmitter
Q33685|limited company
Q9788|letter
Q783794|company
Q148401|magician in fantasy
Q932586|filmmaking
Q1434313|river god
Q75712837|cresol
Q3714476|dot matrix
Q167270|trademark
Q6822327|metabelian group
Q2221906|geographic location
Q9261468|organizational subdivision
Q8031011|women's national team
Q621184|problem
Q1789452|criterion
Q629103|animal product
Q5418608|evolution
Q12479773|first-level administrative country subdivision in Indonesia
Q340169|communication medium
Q45033382|finite simple group
Q23015465|income class
Q51031626|sport competition at a multi-sport event
Q3266850|commune
Q25550691|seat of local government
Q66392|binary compound
Q5621421|private company
Q62079110|subsidiary entity
Q975783|estate in land
Q20076756|fantastique genre
Q1991663|dissent
Q62651817|program compilation
Q43109|referendum
Q101965|experiment
Q625994|convention
Q12405827|biblical character
Q57821|fortification
Q164950|dynasty
Q120544|vocal group
Q1078765|train wreck
Q109411|curse
Q161837|public service
Q14656|Unix-like
Q641226|arena
Q48204|voluntary association
Q1798622|governorate
Q312466|utility software
Q27301300|fictional carnivoran
Q1726215|process material
Q9647|gland
Q3413439|four-masted ship
Q2072431|passenger transport
Q30336093|biological system
Q1078001|territorial dispute
Q3117616|characteristically simple group
Q33294038|class of mythical entities
Q3312801|permit
Q10742|autonomous community of Spain
Q12376661|artificial body of water
Q50706|square-free integer
Q4372150|bounty
Q1172599|inlet
Q355304|watercourse
Q1456930|peacekeeping force
Q1297322|satellite
Q6027980|industrial region
Q482|poetry
Q1340449|review site
Q17125612|lossy data conversion
Q814610|emergency service
Q66592395|Cell component
Q12131624|city in Ukraine
Q1350310|administrative territorial entity of the Philippines
Q25999041|regional wind
Q7724161|television serial
Q1387388|mythical hybrid
Q174211|organic compound
Q134768|cocktail
Q751997|astronomical instrument
Q581714|animated series
Q20857065|United States federal agency
Q47682|administrative territorial entity of New York (state)
Q71550118|individual quantity
Q3590573|game of chance
Q3352369|footpath
Q3707858|type
Q12084012|province level division of the Republic of China
Q2332332|minor-planet group
Q1160920|unitary authority
Q391414|architectural element
Q9316670|prefecture of the People's Republic of China
Q160738|role-playing game
Q14296|top-level domain
Q108709|diminutive
Q13218690|town in Hungary
Q28872880|magic spell in Harry Potter
Q157963|savings bank
Q2259909|dry bulk cargo
Q20652655|amateur cycling team
Q131541|state or territory of India
Q48349|empire
Q66560214|biological macromolecule
Q55412936|design element
Q494721|city of Japan
Q203066|relation
Q1641122|online service provider
Q24354647|editing board
Q131569|treaty
Q754831|palindromic number
Q379825|element
Q18123741|infectious disease
