Type	Depth	Parent
dbo:MobilePhone	2	dbo:Device
dbo:Crater	3	dbo:NaturalPlace
dbo:BoxingLeague	4	dbo:SportsLeague
dbo:DistrictWaterBoard	6	dbo:GovernmentalAdministrativeRegion
dbo:RadioControlledRacingLeague	4	dbo:SportsLeague
dbo:Fungus	3	dbo:Eukaryote
dbo:HistoricalCountry	4	dbo:Country
dbo:Aircraft	2	dbo:MeanOfTransportation
dbo:List	1	owl:Thing
dbo:State	3	dbo:PopulatedPlace
dbo:FictionalCharacter	3	dbo:Person
dbo:Moss	4	dbo:Plant
dbo:TennisLeague	4	dbo:SportsLeague
dbo:Biomolecule	1	owl:Thing
dbo:Station	4	dbo:Infrastructure
dbo:River	5	dbo:Stream
dbo:Organisation	2	dbo:Agent
dbo:Image	3	dbo:Document
dbo:ComicsCharacter	4	dbo:FictionalCharacter
dbo:Temple	5	dbo:ReligiousBuilding
dbo:Cheese	2	dbo:Food
dbo:HorseRider	4	dbo:Athlete
dbo:Place	1	owl:Thing
dbo:RestArea	4	dbo:Infrastructure
dbo:Embryology	2	dbo:AnatomicalStructure
dbo:Unknown	1	owl:Thing
dbo:Publisher	4	dbo:Company
dbo:CrossCountrySkier	5	dbo:WinterSportPlayer
dbo:StormSurge	3	dbo:NaturalEvent
dbo:FillingStation	5	dbo:Station
dbo:MultiVolumePublication	3	dbo:WrittenWork
dbo:PlayWright	4	dbo:Writer
dbo:BoxingCategory	4	dbo:Boxing
dbo:RouteOfTransportation	4	dbo:Infrastructure
dbo:SportsTeamSeason	2	dbo:SportsSeason
dbo:FormulaOneTeam	4	dbo:SportsTeam
dbo:On-SiteTransportation	2	dbo:MeanOfTransportation
dbo:Resume	3	dbo:WrittenWork
dbo:ArtificialSatellite	4	dbo:Satellite
dbo:GreenAlga	4	dbo:Plant
dbo:SkiResort	5	dbo:SkiArea
dbo:Genre	2	dbo:TopicalConcept
dbo:ChemicalSubstance	1	owl:Thing
dbo:Athletics	3	dbo:Sport
dbo:Memorial	3	dbo:Monument
dbo:BaseballPlayer	4	dbo:Athlete
dbo:Medician	4	dbo:Scientist
dbo:RoadTunnel	5	dbo:RouteOfTransportation
dbo:NaturalRegion	4	dbo:Region
dbo:NationalFootballLeagueSeason	4	dbo:FootballLeagueSeason
dbo:Zoo	3	dbo:ArchitecturalStructure
dbo:CultivatedVariety	4	dbo:Plant
dbo:Castle	4	dbo:Building
dbo:VicePrimeMinister	4	dbo:Politician
dbo:Instrument	2	dbo:Device
dbo:Mayor	4	dbo:Politician
dbo:Photographer	4	dbo:Artist
dbo:Species	1	owl:Thing
dbo:Bank	4	dbo:Company
dbo:GolfCourse	4	dbo:SportFacility
dbo:Dam	4	dbo:Infrastructure
dbo:TelevisionStation	4	dbo:Broadcaster
dbo:CountrySeat	2	dbo:Place
dbo:Race	4	dbo:SportsEvent
dbo:Caterer	4	dbo:Company
dbo:PopulatedPlace	2	dbo:Place
dbo:Cyclist	4	dbo:Athlete
dbo:RugbyLeague	4	dbo:SportsLeague
dbo:AmericanFootballCoach	4	dbo:Coach
dbo:SoccerClub	4	dbo:SportsTeam
dbo:Historian	4	dbo:Writer
dbo:Asteroid	3	dbo:CelestialBody
dbo:Guitarist	6	dbo:Instrumentalist
dbo:Weapon	2	dbo:Device
dbo:Polyhedron	1	owl:Thing
dbo:Lake	4	dbo:BodyOfWater
dbo:Lieutenant	4	dbo:Politician
dbo:Host	4	dbo:TelevisionPersonality
dbo:Celebrity	3	dbo:Person
dbo:Mine	2	dbo:Place
dbo:Letter	3	dbo:WrittenWork
dbo:TopicalConcept	1	owl:Thing
dbo:AcademicSubject	2	dbo:TopicalConcept
dbo:Noble	3	dbo:Person
dbo:Lighthouse	4	dbo:Tower
dbo:MicroRegion	6	dbo:GovernmentalAdministrativeRegion
dbo:MemberOfParliament	4	dbo:Politician
dbo:RouteStop	1	owl:Thing
dbo:WineRegion	2	dbo:Place
dbo:SolarEclipse	3	dbo:NaturalEvent
dbo:Forest	3	dbo:NaturalPlace
dbo:Deity	2	dbo:Agent
dbo:RailwayStation	5	dbo:Station
dbo:Poet	4	dbo:Writer
dbo:ChristianBishop	4	dbo:Cleric
dbo:PoloLeague	4	dbo:SportsLeague
dbo:AutoRacingLeague	4	dbo:SportsLeague
dbo:HistoricPlace	2	dbo:Place
dbo:Depth	1	owl:Thing
dbo:BritishRoyalty	4	dbo:Royalty
dbo:Boxing	3	dbo:Sport
dbo:TelevisionHost	4	dbo:Presenter
dbo:Manhua	4	dbo:Comic
dbo:WaterTower	4	dbo:Tower
dbo:MythologicalFigure	4	dbo:FictionalCharacter
dbo:HistoricalRegion	4	dbo:Region
dbo:Building	3	dbo:ArchitecturalStructure
dbo:Astronaut	3	dbo:Person
dbo:MixedMartialArtsLeague	4	dbo:SportsLeague
dbo:MovingImage	4	dbo:Image
dbo:TermOfOffice	3	dbo:Organisation
dbo:HistoricalAreaOfAuthority	5	dbo:AdministrativeRegion
dbo:AdministrativeRegion	4	dbo:Region
dbo:HumanDevelopmentIndex	1	owl:Thing
dbo:Bodybuilder	4	dbo:Athlete
dbo:Single	3	dbo:MusicalWork
dbo:SoftballLeague	4	dbo:SportsLeague
dbo:Casino	4	dbo:Building
dbo:RaceHorse	6	dbo:Horse
dbo:Cartoon	2	dbo:Work
dbo:Contest	3	dbo:Competition
dbo:Spacecraft	2	dbo:MeanOfTransportation
dbo:RadioHost	4	dbo:Presenter
dbo:MixedMartialArtsEvent	4	dbo:SportsEvent
dbo:VideoGame	3	dbo:Software
dbo:Governor	4	dbo:Politician
dbo:TradeUnion	3	dbo:Organisation
dbo:OfficeHolder	3	dbo:Person
dbo:Type	2	dbo:TopicalConcept
dbo:MilitaryStructure	3	dbo:ArchitecturalStructure
dbo:Document	2	dbo:Work
dbo:CricketLeague	4	dbo:SportsLeague
dbo:RugbyClub	4	dbo:SportsTeam
dbo:MountainRange	3	dbo:NaturalPlace
dbo:AustralianRulesFootballPlayer	4	dbo:Athlete
dbo:BasketballPlayer	4	dbo:Athlete
dbo:Chancellor	4	dbo:Politician
dbo:LegalCase	3	dbo:Case
dbo:Crustacean	4	dbo:Animal
dbo:Broadcaster	3	dbo:Organisation
dbo:MusicDirector	5	dbo:MusicalArtist
dbo:Cycad	4	dbo:Plant
